customer_id,end_date,txn_date,transactions,running_balance,min_balance,max_balance,avg_balance,monthly_balance
1,2020-01-31,2020-01-02,312,312,-640,312,-151.0000,312
1,2020-02-29,NULL,0,312,-640,312,-151.0000,312
1,2020-03-31,2020-03-05,-612,-300,-640,312,-151.0000,-640
1,2020-03-31,2020-03-17,324,24,-640,312,-151.0000,-640
1,2020-03-31,2020-03-19,-664,-640,-640,312,-151.0000,-640
1,2020-04-30,NULL,0,-640,-640,312,-151.0000,-640
2,2020-01-31,2020-01-03,549,549,549,610,579.5000,549
2,2020-02-29,NULL,0,549,549,610,579.5000,549
2,2020-03-31,2020-03-24,61,610,549,610,579.5000,610
2,2020-04-30,NULL,0,610,549,610,579.5000,610
3,2020-01-31,2020-01-27,144,144,-1222,144,-732.4000,144
3,2020-02-29,2020-02-22,-965,-821,-1222,144,-732.4000,-821
3,2020-03-31,2020-03-05,-213,-1034,-1222,144,-732.4000,-1222
3,2020-03-31,2020-03-19,-188,-1222,-1222,144,-732.4000,-1222
3,2020-04-30,2020-04-12,493,-729,-1222,144,-732.4000,-729
4,2020-01-31,2020-01-07,458,458,458,848,653.6667,848
4,2020-01-31,2020-01-21,390,848,458,848,653.6667,848
4,2020-02-29,NULL,0,848,458,848,653.6667,848
4,2020-03-31,2020-03-25,-193,655,458,848,653.6667,655
4,2020-04-30,NULL,0,655,458,848,653.6667,655
5,2020-01-31,2020-01-15,974,974,-2413,1780,-120.2000,954
5,2020-01-31,2020-01-25,806,1780,-2413,1780,-120.2000,954
5,2020-01-31,2020-01-31,-826,954,-2413,1780,-120.2000,954
5,2020-02-29,NULL,0,954,-2413,1780,-120.2000,954
5,2020-03-31,2020-03-02,-886,68,-2413,1780,-120.2000,-1923
5,2020-03-31,2020-03-19,718,786,-2413,1780,-120.2000,-1923
5,2020-03-31,2020-03-26,-786,0,-2413,1780,-120.2000,-1923
5,2020-03-31,2020-03-27,-288,-288,-2413,1780,-120.2000,-1923
5,2020-03-31,2020-03-29,-852,-1140,-2413,1780,-120.2000,-1923
5,2020-03-31,2020-03-31,-783,-1923,-2413,1780,-120.2000,-1923
5,2020-04-30,2020-04-02,-490,-2413,-2413,1780,-120.2000,-2413
6,2020-01-31,2020-01-11,831,831,-552,2197,654.5882,733
6,2020-01-31,2020-01-14,-51,780,-552,2197,654.5882,733
6,2020-01-31,2020-01-18,-66,714,-552,2197,654.5882,733
6,2020-01-31,2020-01-25,796,1510,-552,2197,654.5882,733
6,2020-01-31,2020-01-28,-777,733,-552,2197,654.5882,733
6,2020-02-29,2020-02-10,-962,-229,-552,2197,654.5882,-52
6,2020-02-29,2020-02-24,240,11,-552,2197,654.5882,-52
