prod_id,product_name,prod_txn,total_txn,penetration
2a2353,"Blue Polo Shirt - Mens",1268,2500,50.72
2feb6b,"Pink Fluro Polkadot Socks - Mens",1258,2500,50.32
5d267b,"White Tee Shirt - Mens",1268,2500,50.72
72f5d4,"Indigo Rain Jacket - Womens",1250,2500,50.00
9ec847,"Grey Fashion Jacket - Womens",1275,2500,51.00
b9a74d,"White Striped Socks - Mens",1243,2500,49.72
c4a632,"Navy Oversized Jeans - Womens",1274,2500,50.96
c8d436,"Teal Button Up Shirt - Mens",1242,2500,49.68
d5e9a6,"Khaki Suit Jacket - Womens",1247,2500,49.88
e31d39,"Cream Relaxed Jeans - Womens",1243,2500,49.72
e83aa3,"Black Straight Jeans - Womens",1246,2500,49.84
f084eb,"Navy Solid Socks - Mens",1281,2500,51.24
