_month,_year,month_year,interest_id,composition,index_value,ranking,percentile_ranking,interest_name,interest_summary,created_at,last_modified
7,2018,2018-07-01,21246,2.26,0.65,722,0.96,"Readers of El Salvadoran Content","People reading news from El Salvadoran media sources.","2018-06-11 17:50:04","2018-06-11 17:50:04"
8,2018,2018-08-01,21246,2.13,0.59,765,0.26,"Readers of El Salvadoran Content","People reading news from El Salvadoran media sources.","2018-06-11 17:50:04","2018-06-11 17:50:04"
9,2018,2018-09-01,21246,2.06,0.61,774,0.77,"Readers of El Salvadoran Content","People reading news from El Salvadoran media sources.","2018-06-11 17:50:04","2018-06-11 17:50:04"
10,2018,2018-10-01,21246,1.74,0.58,855,0.23,"Readers of El Salvadoran Content","People reading news from El Salvadoran media sources.","2018-06-11 17:50:04","2018-06-11 17:50:04"
11,2018,2018-11-01,21246,2.25,0.78,908,2.16,"Readers of El Salvadoran Content","People reading news from El Salvadoran media sources.","2018-06-11 17:50:04","2018-06-11 17:50:04"
12,2018,2018-12-01,21246,1.97,0.7,983,1.21,"Readers of El Salvadoran Content","People reading news from El Salvadoran media sources.","2018-06-11 17:50:04","2018-06-11 17:50:04"
1,2019,2019-01-01,21246,2.05,0.76,954,1.95,"Readers of El Salvadoran Content","People reading news from El Salvadoran media sources.","2018-06-11 17:50:04","2018-06-11 17:50:04"
2,2019,2019-02-01,21246,1.84,0.68,1109,1.07,"Readers of El Salvadoran Content","People reading news from El Salvadoran media sources.","2018-06-11 17:50:04","2018-06-11 17:50:04"
3,2019,2019-03-01,21246,1.75,0.67,1123,1.14,"Readers of El Salvadoran Content","People reading news from El Salvadoran media sources.","2018-06-11 17:50:04","2018-06-11 17:50:04"
4,2019,2019-04-01,21246,1.58,0.63,1092,0.64,"Readers of El Salvadoran Content","People reading news from El Salvadoran media sources.","2018-06-11 17:50:04","2018-06-11 17:50:04"
