month_year,interest_id,interest_name,max_com
2018-12-01,21057,"Work Comes First Travelers",21.2
2018-07-01,6284,"Gym Equipment Owners",18.82
2018-07-01,39,"Furniture Shoppers",17.44
2018-07-01,77,"Luxury Retail Shoppers",17.19
2018-10-01,12133,"Luxury Boutique Hotel Researchers",15.15
2018-12-01,5969,"Luxury Bedding Shoppers",15.05
2018-07-01,171,"Shoe Shoppers",14.91
2018-07-01,4898,"Cosmetics and Beauty Shoppers",14.23
2018-07-01,6286,"Luxury Hotel Guests",14.1
2018-07-01,4,"Luxury Retail Researchers",13.97
