interest_id,interest_name,month_year,composition,index_value,avg_composition,rnk
6324,"Las Vegas Trip Planners",2018-07-01,10.3,1.4,7.36,1
6284,"Gym Equipment Owners",2018-07-01,18.82,2.71,6.94,2
4898,"Cosmetics and Beauty Shoppers",2018-07-01,14.23,2.1,6.78,3
77,"Luxury Retail Shoppers",2018-07-01,17.19,2.6,6.61,4
39,"Furniture Shoppers",2018-07-01,17.44,2.68,6.51,5
18619,"Asian Food Enthusiasts",2018-07-01,9.15,1.5,6.10,6
6208,"Recently Retired Individuals",2018-07-01,9.67,1.69,5.72,7
21060,"Family Adventures Travelers",2018-07-01,8.58,1.77,4.85,8
21057,"Work Comes First Travelers",2018-07-01,10.95,2.28,4.80,9
82,"HDTV Researchers",2018-07-01,9.99,2.12,4.71,10
6324,"Las Vegas Trip Planners",2018-08-01,8.43,1.17,7.21,1
6284,"Gym Equipment Owners",2018-08-01,13.9,2.1,6.62,2
77,"Luxury Retail Shoppers",2018-08-01,12.73,1.95,6.53,3
39,"Furniture Shoppers",2018-08-01,12.03,1.91,6.30,4
4898,"Cosmetics and Beauty Shoppers",2018-08-01,7.98,1.27,6.28,5
21057,"Work Comes First Travelers",2018-08-01,12.42,2.18,5.70,6
18619,"Asian Food Enthusiasts",2018-08-01,6.59,1.16,5.68,7
6208,"Recently Retired Individuals",2018-08-01,6.59,1.18,5.58,8
7541,"Alabama Trip Planners",2018-08-01,6.09,1.26,4.83,9
5969,"Luxury Bedding Shoppers",2018-08-01,10.85,2.3,4.72,10
21057,"Work Comes First Travelers",2018-09-01,18.18,2.2,8.26,1
21245,"Readers of Honduran Content",2018-09-01,3.95,0.52,7.60,2
7541,"Alabama Trip Planners",2018-09-01,9.23,1.27,7.27,3
5969,"Luxury Bedding Shoppers",2018-09-01,14.29,2.03,7.04,4
18783,"Nursing and Physicians Assistant Journal Researchers",2018-09-01,8.51,1.27,6.70,5
10981,"New Years Eve Party Ticket Purchasers",2018-09-01,8.77,1.33,6.59,6
34,"Teen Girl Clothing Shoppers",2018-09-01,9.08,1.39,6.53,7
10977,"Christmas Celebration Researchers",2018-09-01,10.61,1.64,6.47,8
13497,"Restaurant Supply Shoppers",2018-09-01,8.12,1.3,6.25,9
6065,"Solar Energy Researchers",2018-09-01,4.24,0.68,6.24,10
21057,"Work Comes First Travelers",2018-10-01,20.28,2.22,9.14,1
7541,"Alabama Trip Planners",2018-10-01,9.3,1.31,7.10,2
21245,"Readers of Honduran Content",2018-10-01,3.3,0.47,7.02,3
18783,"Nursing and Physicians Assistant Journal Researchers",2018-10-01,9.83,1.4,7.02,3
5969,"Luxury Bedding Shoppers",2018-10-01,14.15,2.04,6.94,4
10981,"New Years Eve Party Ticket Purchasers",2018-10-01,10.09,1.46,6.91,5
34,"Teen Girl Clothing Shoppers",2018-10-01,10.04,1.48,6.78,6
10977,"Christmas Celebration Researchers",2018-10-01,12.16,1.81,6.72,7
12133,"Luxury Boutique Hotel Researchers",2018-10-01,15.15,2.32,6.53,8
6065,"Solar Energy Researchers",2018-10-01,4.03,0.62,6.50,9
15879,Freelancers,2018-10-01,8.65,1.35,6.41,10
21057,"Work Comes First Travelers",2018-11-01,19.45,2.35,8.28,1
21245,"Readers of Honduran Content",2018-11-01,3.83,0.54,7.09,2
6065,"Solar Energy Researchers",2018-11-01,3.95,0.56,7.05,3
7541,"Alabama Trip Planners",2018-11-01,8.43,1.26,6.69,4
